Round,Total Quantity,Price,Firm 1 Quantity,Firm 2 Quantity,Firm 3 Quantity,Firm 4 Quantity,Firm 5 Quantity,Firm 1 Profit,Firm 2 Profit,Firm 3 Profit,Firm 4 Profit,Firm 5 Profit
1.0,27.06285857857043,22.353208135712507,23.114332328437598,13.021689872879803,16.44569016747929,101.99777908307964,296.0044418338407,7740.097762192203,6393.116816050122,6610.801715956695,3724.261143826364,4703.540436922197
2.0,7.470013512861703,42.88998574043856,9.822130926623482,39.76307609411347,22.7559327127806,122.70113898681782,254.59772202636435,1827.1482887521324,10490.792809854522,2402.470850096807,9725.95783338114,5566.04930413136
3.0,46.44895227223091,31.28905782201887,47.767118716890316,32.81779966541756,13.432646093053643,171.7555745696113,156.4888508607774,6804.253642046202,4583.498124863963,6997.350329767594,4807.4417607662235,1967.732890190939
4.0,25.801805332476512,48.36599321574053,43.08314747551165,27.13077480311103,30.083647974073994,174.46536880091372,151.06926239817255,3639.841646793697,6822.954988099535,6077.707836162119,3827.318389765798,4243.878029948896
5.0,3.2094894420082563,46.19815706199807,6.819777628584754,20.27238000996472,10.859995240086178,87.35979938264198,325.280401234716,1011.8891190349478,14565.37349481118,2150.1422270717417,6391.484103524313,3423.9436567014764
6.0,40.219976769907944,24.930493371727138,26.128881983726536,25.836427329838617,13.126419046153517,130.24219850135376,239.5156029972925,9231.112220882518,5721.937219231958,5996.986104140087,5929.863197903637,3012.717982573069
7.0,12.893726488463361,6.951547600008463,13.988564529153996,40.47168930291543,39.52904551413922,113.83457343468046,272.33085313063907,3382.4222697517125,1823.6054124884668,3669.632067005964,10616.972782471965,10369.688233164003
8.0,9.66763805341432,2.547977500585238,12.273437491392396,19.787841788118584,11.769149710641205,56.04604454415174,387.9079109116965,3653.4769002162257,962.9008542961733,4638.229122077394,7477.981951599063,4447.654780355415
9.0,41.24180302580121,44.67429751091583,5.872746314098983,49.25119311513735,37.19959243971924,178.2396324056726,143.52073518865478,5506.635860510665,5964.945047694171,784.1334054349587,6576.055513651551,4966.916931269637
10.0,20.90895294436952,21.801041900059552,39.60169241752747,3.7629263292663673,42.51249813072037,128.58711172194327,242.82577655611345,4868.143206248069,5075.844510113732,9220.29479004718,876.1062447348874,9898.00539062529
11.0,49.536935054221985,9.239007887778335,38.31501010016891,9.8717264134219,11.137113637299205,118.09979309289034,263.8004138142193,12572.494615849648,2344.864025150978,9724.365418718862,2505.4482487872374,2826.6040498425236
12.0,45.556912890128395,15.481795783339603,34.70613311123138,41.96844203602154,30.384664449709113,168.09794827043004,163.80410345913992,7006.840143432333,2381.1637203940404,5337.945687706513,6454.918600927174,4673.286074594312
13.0,33.637488524175836,36.959687272045834,33.30347776708006,7.344837746602674,47.969097940457246,159.21458925036166,181.5708214992767,5771.21153926534,6341.203907621265,5713.905039280823,1260.159845963517,8230.09754022351
14.0,44.54596552916903,34.816972675114464,8.568541692717506,45.53231519398868,46.98802250612359,180.45181759711326,139.09636480577348,5750.722216579015,4494.744605899224,1106.167584216539,5878.056372734625,6065.982894952425
15.0,20.727879712167642,30.819921301708412,27.038254302087708,18.18802941261499,42.58809855032537,139.36218327890413,221.27563344219175,4379.295916101773,6511.498395656944,5712.524304844646,3842.6874352154473,8997.82749831848
16.0,11.277536575924087,17.614565213263116,6.716496220335614,48.86549540223555,43.44031487970881,127.91440829146718,244.17118341706563,2640.8740860133857,4124.823581366902,1572.8098683322391,11442.89088660268,10172.469943391377
17.0,46.9910890855739,21.96578460557453,29.920353917751864,5.281864025161699,25.860370095468138,130.01946172953012,239.96107654093976,10806.121433949778,5051.27547496432,6880.516797412143,1214.6231373690457,5946.878546900978
18.0,13.609924345182204,42.14667373662408,49.90642239914389,7.4209261372095465,44.78273227100801,157.86667888916773,184.26664222166454,2371.755816525789,7344.759312893494,8697.024656794872,1293.219880106495,7804.136382380344
19.0,16.886022129868117,26.21935093481568,24.519963898730378,6.391316876774736,19.380371748609164,93.39702558879807,313.20594882240385,5119.942361722771,7949.863177698369,7434.5989190056325,1937.8852978471268,5876.244004567951
20.0,47.68072936331818,34.78903487836703,12.707024481669173,23.826047634053882,3.747055923641651,122.74989228104992,254.50021543790015,11657.948601567507,8505.926522637363,3106.8702233427844,5825.473779559846,916.1559805882437
21.0,28.497595600651707,20.03620747131881,35.465623745921285,10.728624240286806,3.2977720179419014,98.0258230761205,303.948353847759,8376.821315430707,5889.610203546335,10425.061718297555,3153.66143448347,969.3746560392242
22.0,26.06283875022896,39.29019383073708,18.907495829758094,25.71331450103822,13.768790061967588,123.74263297372994,252.51473405254012,6320.622408166013,9528.450907733957,4585.346322753295,6235.857627828606,3339.134460103327
23.0,42.82527536769182,19.837958277494813,29.867610502828974,43.28185157212876,2.4418726862976543,138.25456840644202,223.49086318711596,9142.805004474463,4235.22283653236,6376.461947585529,9240.2798524704,521.3175075907278
24.0,9.794837869981038,27.076186576835497,25.297536511323127,21.39933842940793,17.394278915601653,100.96217830314924,298.0756433937015,2821.6542213317803,7799.98986876979,7287.604106775065,6164.6281862512515,5010.8680899814435
25.0,26.984920122164052,18.72523086097937,24.165071155573898,28.41819815794109,28.025756201464702,126.31917649812311,247.36164700375377,6405.1850844615965,4444.651637687582,5735.861089449924,6745.39031964794,6652.2396505053275
26.0,20.103053779698435,3.2035304601952386,24.866634224551834,10.84988045945083,6.975407483765881,65.99850640766222,368.0029871846756,7196.953304666223,1146.8734742869938,8902.329333618245,3884.2896150800375,2497.216716018527
27.0,10.644147125564205,8.369411453343215,43.37427412816348,42.418980303528436,20.934965114326086,125.74177812492542,248.51644375014916,2538.8041191429465,1996.242256133191,10345.477615293656,10117.624329505226,4993.333429102493
28.0,45.78884662478909,30.35519486519554,9.619939177465447,11.898166778871039,43.57083200430458,141.2329794506257,217.53404109874862,9502.744377293277,6299.736258714014,1996.464852623576,2469.274633285988,9042.430839888017
29.0,19.300838294237156,33.21974881460814,31.94055183112111,23.634385296953077,5.773661625964935,113.86918586288442,272.26162827423116,5061.86927810427,8712.265414980091,8376.781131207299,6198.392371239463,1514.2098991300088
30.0,20.147231243255902,27.106163568793686,8.262390748660058,9.964958412444268,42.871843969335664,108.35258794248958,283.29482411502084,5506.134019030274,7407.9742049664555,2258.068626424626,2723.3715566424535,11716.653057086207
31.0,25.3953841944033,7.134686101849182,32.131872462458176,28.380334511261232,47.12326208165088,140.16553935162275,219.6689212967545,5324.622809957188,1495.9219387656642,6737.055038448497,5950.474123017197,9880.283528643993
32.0,9.47325475731904,46.70754748686166,36.143792530533894,48.74302766893758,36.713491611535126,177.7811140551873,144.43777188962542,1273.5632621167658,6279.258614562555,4859.090935445864,6552.90403496633,4935.680010543236
33.0,3.0228452610829453,22.468819591188975,29.597630607303678,2.930827296629147,47.645999957879575,105.66612271408432,288.6677545718313,842.3695013240856,6261.335503356205,8247.905261983824,816.727061789475,13277.40382259187
34.0,22.765498949069315,15.424324983464594,22.53793758967709,29.688292415430624,19.59764987609712,110.01370381373874,279.9725923725225,6146.06076793418,4164.145001382201,6084.625437815245,8015.025266507304,5290.828341458983
35.0,4.08943333928341,39.265757565016976,7.887176754735679,23.589485731676376,9.48288144820695,84.31473483891939,331.37053032216124,1314.2233609626362,12618.857332170921,2534.7061764140276,7580.965539615893,3047.518639992452
36.0,23.064807330442534,47.87975225320173,1.4282614560635434,37.615087639490355,30.998894434812183,140.98680311401034,218.02639377197931,4798.088691997474,9960.252195929357,297.1160800684152,7824.931033060132,6448.588220192258
37.0,38.8463973608633,45.179881651295226,26.782037739807105,45.106029516601275,17.40748522770204,173.32183149626894,153.35633700746212,5568.877231589706,6476.822339960332,3839.374827974356,6466.235168450426,2495.473318754872
38.0,40.72994374114976,8.097707597541177,41.81242329999692,33.67724848206264,45.102775470852,169.4200985916025,161.15980281679498,6156.730264651351,1224.047883712387,6320.357661319898,5090.646239960796,6817.726646664166
39.0,49.84070620550618,44.28511460256677,4.2081642642823285,31.80995752491516,40.32354954675368,170.46749214402413,159.06501571195173,7429.505653618548,6601.361304037199,627.2900721737192,4741.751818247995,6010.830546748502
40.0,37.724766665491615,20.625692145179215,14.96912918183188,16.10111145355308,18.79505421798371,108.2157536640395,283.56849267192104,10320.307553078474,5642.539510471759,4095.0821068850137,4404.75679069112,5141.734652100836
41.0,29.01156773062903,28.697023168176422,49.48160452813944,14.331848751090117,4.336412903505859,125.85845708154086,248.28308583691827,6912.965883821045,6838.015234846615,11790.629419127095,3415.037146157736,1033.2938481104065
42.0,7.249952114814729,20.082757125467324,18.878905680197434,41.421434008451676,2.577974729432529,90.21102365836369,319.57795268327266,2244.4253327561064,6217.178835137581,5844.492969376128,12823.162737541754,798.084138806936
43.0,17.502112950689376,49.09580484027519,31.990948867995577,1.9607762205286652,46.018279153396506,146.56792203288532,206.86415593422936,3445.5386931030084,9665.204179792428,6297.87114643304,386.006555630284,9059.349683079146
44.0,45.7725688783863,35.547688751140875,45.49490510879589,41.10290691738559,27.211477193361077,195.12954684906973,109.74090630186055,4565.397503694587,3545.5586929752444,4537.703067668448,4099.641187581052,2714.0973970782425
45.0,41.164328653813556,29.67898649455277,36.604604232639986,10.38722096863715,47.914344494465055,165.7494848441085,168.50103031178298,6524.588503722299,4704.149937996107,5801.86748502849,1646.3852256051448,7594.472969086418
46.0,14.352137626147819,40.93809755247928,49.18150423838015,11.700698614392962,40.061915096886345,156.23435312828656,187.5312937434269,2547.953560753738,7267.793421886264,8731.25607568746,2077.240162715105,7112.243616989558
47.0,23.424975348092815,5.107408323242789,17.587638542376506,25.491959489862097,7.637090549558478,79.24907225313268,341.50185549373464,7765.422792787761,1693.1153359191287,5830.334810550934,8450.631871060401,2531.7096877523013
